state,effective_date,old_minimum_wage,new_minimum_wage,nominal_change,pct_change,policy_year,source_url,source_name,verified,notes
AK,2015-01-01,7.75,8.75,1.0,0.12903225806451613,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2016-01-01,8.75,9.75,1.0,0.11428571428571428,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2017-01-01,9.75,9.8,0.05000000000000071,0.005128205128205201,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2018-01-01,9.8,9.84,0.03999999999999915,0.004081632653061137,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2019-01-01,9.84,9.89,0.05000000000000071,0.005081300813008202,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2020-01-01,9.89,10.19,0.29999999999999893,0.03033367037411516,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2021-01-01,10.19,10.34,0.15000000000000036,0.01472031403336608,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2023-01-01,10.34,10.85,0.5099999999999998,0.049323017408123775,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AR,2015-01-01,6.25,7.5,1.25,0.2,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAR,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AR,2016-01-01,7.5,8.0,0.5,0.06666666666666667,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAR,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AR,2017-01-01,8.0,8.5,0.5,0.0625,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAR,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AR,2019-01-01,8.5,9.25,0.75,0.08823529411764706,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAR,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AR,2020-01-01,9.25,10.0,0.75,0.08108108108108109,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAR,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AR,2021-01-01,10.0,11.0,1.0,0.1,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAR,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2015-01-01,7.9,8.05,0.15000000000000036,0.018987341772151944,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2017-01-01,8.05,10.0,1.9499999999999993,0.2422360248447204,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2018-01-01,10.0,10.5,0.5,0.05,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2019-01-01,10.5,11.0,0.5,0.047619047619047616,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2020-01-01,11.0,12.0,1.0,0.09090909090909091,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2021-01-01,12.0,12.15,0.15000000000000036,0.01250000000000003,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2022-01-01,12.15,12.8,0.6500000000000004,0.0534979423868313,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2023-01-01,12.8,13.85,1.049999999999999,0.08203124999999992,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2016-01-01,9.0,10.0,1.0,0.1111111111111111,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2017-01-01,10.0,10.5,0.5,0.05,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2018-01-01,10.5,11.0,0.5,0.047619047619047616,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2019-01-01,11.0,12.0,1.0,0.09090909090909091,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2021-01-01,12.0,13.0,1.0,0.08333333333333333,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2022-01-01,13.0,14.0,1.0,0.07692307692307693,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2023-01-01,14.0,15.5,1.5,0.10714285714285714,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2015-01-01,8.0,8.23,0.23000000000000043,0.028750000000000053,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2016-01-01,8.23,8.31,0.08000000000000007,0.009720534629404625,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2017-01-01,8.31,9.3,0.9900000000000002,0.11913357400722023,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2018-01-01,9.3,10.2,0.8999999999999986,0.09677419354838694,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
