treated,year,mean_outcome,n_county_pairs,n_counties
0,2015,5.400541494721454,919,545
0,2016,5.522511269934105,917,544
0,2017,5.451050227285529,917,544
0,2018,5.418073950443985,918,544
0,2019,5.442021372628543,917,543
0,2020,5.3932120016047955,919,545
0,2021,5.313400826890602,919,546
0,2022,5.40651867291304,918,545
0,2023,5.513395236718732,918,544
1,2015,6.003612167370099,1053,627
1,2016,5.8477854558397055,1053,627
1,2017,5.92810072355302,1051,626
1,2018,5.996773326903695,1051,626
1,2019,5.940946743930839,1051,626
1,2020,5.859075137534994,1051,624
1,2021,5.924170667417833,1048,623
1,2022,6.046281731282267,1051,625
1,2023,6.005424543097858,1051,625
